"id","Name","Universe","Alignment","Eye_Color","Sex","GSM","Alive","AppearanceBin","Inaugural_Mo","Inaugural_Yr","IdentitiyStatus","URL","TotalAppearances"
244,"Wolfgang von Strucker (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Deceased Characters",2,"Jan",1964,"Public Identity","https://marvel.fandom.com/Wolfgang_von_Strucker_(Earth-616)",164
245,"Dirk Garthwaite (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",2,"Jan",1968,"Secret Identity","https://marvel.fandom.com/Dirk_Garthwaite_(Earth-616)",164
246,"Pip Gofern (Earth-616)","marvel","Good Characters","Green Eyes","Male Characters","","Living Characters",2,"Apr",1975,"Secret Identity","https://marvel.fandom.com/Pip_Gofern_(Earth-616)",163
247,"Tony Masters (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",2,"May",1980,"Secret Identity","https://marvel.fandom.com/Tony_Masters_(Earth-616)",163
248,"David Lieberman (Earth-616)","marvel","Neutral Characters","Green Eyes","Male Characters","","Deceased Characters",2,"Nov",1987,"Secret Identity","https://marvel.fandom.com/David_Lieberman_(Earth-616)",163
249,"James Hudson (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",2,"Feb",1978,"Secret Identity","https://marvel.fandom.com/James_Hudson_(Earth-616)",161
250,"Miles Warren (Earth-616)","marvel","Bad Characters","Green Eyes","Male Characters","","Living Characters",2,"Dec",1965,"Secret Identity","https://marvel.fandom.com/Miles_Warren_(Earth-616)",160
251,"Kallark (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",2,"Oct",1977,"Public Identity","https://marvel.fandom.com/Kallark_(Earth-616)",160
252,"En Sabah Nur (Earth-616)","marvel","Bad Characters","Red Eyes","Male Characters","","Deceased Characters",2,"Jun",1986,"Public Identity","https://marvel.fandom.com/En_Sabah_Nur_(Earth-616)",160
253,"Shiro Yoshida (Earth-616)","marvel","Good Characters","Black Eyes","Male Characters","","Living Characters",2,"Jan",1970,"Public Identity","https://marvel.fandom.com/Shiro_Yoshida_(Earth-616)",158
254,"Silver Sablinova (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Deceased Characters",2,"Jun",1985,"Secret Identity","https://marvel.fandom.com/Silver_Sablinova_(Earth-616)",158
255,"Elvin Haliday (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",2,"Nov",1990,"Secret Identity","https://marvel.fandom.com/Elvin_Haliday_(Earth-616)",158
256,"Calvin Zabo (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",2,"Dec",1963,"Secret Identity","https://marvel.fandom.com/Calvin_Zabo_(Earth-616)",157
257,"Frederick Myers (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",2,"Jul",1966,"Secret Identity","https://marvel.fandom.com/Frederick_Myers_(Earth-616)",157
258,"Mantis (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",2,"Jun",1973,"Secret Identity","https://marvel.fandom.com/Mantis_(Earth-616)",156
259,"Marlene Alraune (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",2,"Jun",1976,"No Dual Identity","https://marvel.fandom.com/Marlene_Alraune_(Earth-616)",156
260,"Rachel Leighton (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",2,"Oct",1985,"Secret Identity","https://marvel.fandom.com/Rachel_Leighton_(Earth-616)",156
261,"Veranke (Earth-616)","marvel","Bad Characters","Green Eyes","Female Characters","","Deceased Characters",2,"Jan",2005,"No Dual Identity","https://marvel.fandom.com/Veranke_(Earth-616)",156
262,"Nathaniel Essex (Earth-616)","marvel","Bad Characters","Red Eyes","Male Characters","","Living Characters",2,"Sep",1987,"Secret Identity","https://marvel.fandom.com/Nathaniel_Essex_(Earth-616)",155
263,"Anthony Druid (Earth-616)","marvel","Good Characters","Green Eyes","Male Characters","","Deceased Characters",2,"Jun",1961,"Public Identity","https://marvel.fandom.com/Anthony_Druid_(Earth-616)",153
264,"Cassandra Lang (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Deceased Characters",2,"Apr",1979,"Public Identity","https://marvel.fandom.com/Cassandra_Lang_(Earth-616)",153
265,"Beta Ray Bill (Earth-616)","marvel","Good Characters","White Eyes","Male Characters","","Living Characters",2,"Nov",1983,"No Dual Identity","https://marvel.fandom.com/Beta_Ray_Bill_(Earth-616)",153
266,"Samuel Sterns (Earth-616)","marvel","Bad Characters","Red Eyes","Male Characters","","Deceased Characters",2,"Dec",1964,"Public Identity","https://marvel.fandom.com/Samuel_Sterns_(Earth-616)",152
267,"Leech (Earth-616)","marvel","Good Characters","White Eyes","Male Characters","","Living Characters",2,"Mar",1984,"Secret Identity","https://marvel.fandom.com/Leech_(Earth-616)",152
268,"Glenn Talbot (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Deceased Characters",2,"Nov",1964,"No Dual Identity","https://marvel.fandom.com/Glenn_Talbot_(Earth-616)",151
269,"Bug (Earth-616)","marvel","Good Characters","Yellow Eyes","Male Characters","","Living Characters",2,"Jan",1979,"Public Identity","https://marvel.fandom.com/Bug_(Earth-616)",151
270,"Peter Petruski (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jan",1963,"Secret Identity","https://marvel.fandom.com/Peter_Petruski_(Earth-616)",150
271,"Julie Power (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","Pansexual Characters","Living Characters",1,"Aug",1984,"Secret Identity","https://marvel.fandom.com/Julie_Power_(Earth-616)",150
272,"Giuletta Nefaria (Earth-616)","marvel","Bad Characters","Grey Eyes","Female Characters","","Living Characters",1,"Jan",1968,"Secret Identity","https://marvel.fandom.com/Giuletta_Nefaria_(Earth-616)",149
273,"Robert Ralston (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"May",1963,"No Dual Identity","https://marvel.fandom.com/Robert_Ralston_(Earth-616)",148
274,"Maximus (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",1,"Feb",1966,"Secret Identity","https://marvel.fandom.com/Maximus_(Earth-616)",147
275,"Genis-Vell (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Oct",1993,"Public Identity","https://marvel.fandom.com/Genis-Vell_(Earth-616)",147
276,"Hisako Ichiki (Earth-616)","marvel","Good Characters","Black Eyes","Female Characters","","Living Characters",1,"Oct",2004,"Secret Identity","https://marvel.fandom.com/Hisako_Ichiki_(Earth-616)",147
277,"Dmitri Smerdyakov (Earth-616)","marvel","Bad Characters","Variable Eyes","Male Characters","","Living Characters",1,"Mar",1963,"Secret Identity","https://marvel.fandom.com/Dmitri_Smerdyakov_(Earth-616)",146
278,"Eliot Franklin (Thunderball) (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Nov",1974,"Public Identity","https://marvel.fandom.com/Eliot_Franklin_(Thunderball)_(Earth-616)",146
279,"X-51 (Earth-616)","marvel","Good Characters","Red Eyes","Male Characters","","Living Characters",1,"Jul",1977,"Known to Authorities Identity","https://marvel.fandom.com/X-51_(Earth-616)",146
280,"Madelyne Pryor (Earth-616)","marvel","Bad Characters","Green Eyes","Female Characters","","Living Characters",1,"Apr",1983,"Public Identity","https://marvel.fandom.com/Madelyne_Pryor_(Earth-616)",146
281,"Adolf Hitler (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Sep",1940,"No Dual Identity","https://marvel.fandom.com/Adolf_Hitler_(Earth-616)",145
282,"Herman Schultz (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Mar",1967,"Public Identity","https://marvel.fandom.com/Herman_Schultz_(Earth-616)",145
283,"Noriko Ashida (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",1,"Jan",2004,"Secret Identity","https://marvel.fandom.com/Noriko_Ashida_(Earth-616)",145
284,"Chen Lu (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jun",1963,"Secret Identity","https://marvel.fandom.com/Chen_Lu_(Earth-616)",144
285,"Ulysses Klaw (Earth-616)","marvel","Bad Characters","Red Eyes","Male Characters","","Deceased Characters",1,"Aug",1966,"Public Identity","https://marvel.fandom.com/Ulysses_Klaw_(Earth-616)",143
286,"Cessily Kincaid (Earth-616)","marvel","Good Characters","Silver Eyes","Female Characters","","Living Characters",1,"Aug",2003,"Secret Identity","https://marvel.fandom.com/Cessily_Kincaid_(Earth-616)",143
287,"Kyle Gibney (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Aug",1983,"Secret Identity","https://marvel.fandom.com/Kyle_Gibney_(Earth-616)",142
288,"Jack Monroe (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Dec",1953,"Public Identity","https://marvel.fandom.com/Jack_Monroe_(Earth-616)",141
289,"Madeline Joyce (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Deceased Characters",1,"Nov",1943,"Secret Identity","https://marvel.fandom.com/Madeline_Joyce_(Earth-616)",140
290,"George Tarleton (Earth-616)","marvel","Bad Characters","White Eyes","Male Characters","","Living Characters",1,"Sep",1967,"Public Identity","https://marvel.fandom.com/George_Tarleton_(Earth-616)",140
291,"Jocasta (Earth-616)","marvel","Good Characters","Red Eyes","Female Characters","","Living Characters",1,"Aug",1977,"No Dual Identity","https://marvel.fandom.com/Jocasta_(Earth-616)",140
292,"Peter Wisdom (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Feb",1995,"No Dual Identity","https://marvel.fandom.com/Peter_Wisdom_(Earth-616)",140
293,"Jeffrey Mace (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Dec",1940,"Secret Identity","https://marvel.fandom.com/Jeffrey_Mace_(Earth-616)",139
294,"Aquaria Neptunia (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",1,"May",1947,"Secret Identity","https://marvel.fandom.com/Aquaria_Neptunia_(Earth-616)",139
295,"Dragon Man (Earth-616)","marvel","Good Characters","Grey Eyes","Male Characters","","Living Characters",1,"Feb",1965,"No Dual Identity","https://marvel.fandom.com/Dragon_Man_(Earth-616)",139
296,"Narya (Earth-616)","marvel","Good Characters","White Eyes","Female Characters","","Living Characters",1,"Apr",1979,"Secret Identity","https://marvel.fandom.com/Narya_(Earth-616)",138
297,"Burglar (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Aug",1962,"Public Identity","https://marvel.fandom.com/Burglar_(Earth-616)",137
298,"Dino Manelli (Earth-616)","marvel","Good Characters","","Male Characters","","Deceased Characters",1,"May",1963,"Public Identity","https://marvel.fandom.com/Dino_Manelli_(Earth-616)",137
299,"Peter Parker (Kaine) (Earth-616)","marvel","Good Characters","Hazel Eyes","Male Characters","","Living Characters",1,"Dec",1994,"Secret Identity","https://marvel.fandom.com/Peter_Parker_(Kaine)_(Earth-616)",137
300,"Nightmare (Earth-616)","marvel","Bad Characters","Black Eyes","Male Characters","","Living Characters",1,"Jul",1963,"Secret Identity","https://marvel.fandom.com/Nightmare_(Earth-616)",136
301,"Ronan (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",1,"Aug",1967,"No Dual Identity","https://marvel.fandom.com/Ronan_(Earth-616)",136
302,"Thomas Halloway (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Oct",1939,"Public Identity","https://marvel.fandom.com/Thomas_Halloway_(Earth-616)",135
303,"Jasper Sitwell (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"May",1966,"Public Identity","https://marvel.fandom.com/Jasper_Sitwell_(Earth-616)",134
304,"Frank Payne (Earth-616)","marvel","Neutral Characters","","Male Characters","","Living Characters",1,"Jun",1977,"Secret Identity","https://marvel.fandom.com/Frank_Payne_(Earth-616)",134
305,"Paladin (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jan",1978,"Secret Identity","https://marvel.fandom.com/Paladin_(Earth-616)",134
306,"Mad Thinker (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Jun",1963,"Secret Identity","https://marvel.fandom.com/Mad_Thinker_(Earth-616)",133
307,"Brian Calusky (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Nov",1974,"Public Identity","https://marvel.fandom.com/Brian_Calusky_(Earth-616)",133
308,"Arthur Maddicks (Earth-616)","marvel","Good Characters","White Eyes","Male Characters","","Living Characters",1,"Mar",1986,"No Dual Identity","https://marvel.fandom.com/Arthur_Maddicks_(Earth-616)",133
309,"Hedy Wolfe (Earth-616)","marvel","","Hazel Eyes","Female Characters","","Living Characters",1,"Nov",1944,"No Dual Identity","https://marvel.fandom.com/Hedy_Wolfe_(Earth-616)",132
310,"Isadore Cohen (Earth-616)","marvel","Good Characters","","Male Characters","","Living Characters",1,"May",1963,"Public Identity","https://marvel.fandom.com/Isadore_Cohen_(Earth-616)",132
311,"Dormammu (Earth-616)","marvel","Bad Characters","Yellow Eyes","Male Characters","","Living Characters",1,"Nov",1964,"No Dual Identity","https://marvel.fandom.com/Dormammu_(Earth-616)",132
312,"Makkari (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Aug",1940,"Secret Identity","https://marvel.fandom.com/Makkari_(Earth-616)",131
313,"Marlo Chandler (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","Bisexual Characters","Living Characters",1,"Sep",1988,"Public Identity","https://marvel.fandom.com/Marlo_Chandler_(Earth-616)",131
314,"Percival Pinkerton (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Jul",1964,"Public Identity","https://marvel.fandom.com/Percival_Pinkerton_(Earth-616)",130
315,"Quintavius Quire (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jan",2003,"Public Identity","https://marvel.fandom.com/Quintavius_Quire_(Earth-616)",130
316,"Marla Madison (Earth-616)","marvel","","Brown Eyes","Female Characters","","Deceased Characters",1,"Nov",1976,"No Dual Identity","https://marvel.fandom.com/Marla_Madison_(Earth-616)",129
317,"Cletus Kasady (Earth-616)","marvel","Bad Characters","Green Eyes","Male Characters","","Living Characters",1,"Feb",1991,"Public Identity","https://marvel.fandom.com/Cletus_Kasady_(Earth-616)",129
318,"Supreme Intelligence (Earth-616)","marvel","Neutral Characters","Yellow Eyes","Male Characters","","Living Characters",1,"Aug",1967,"No Dual Identity","https://marvel.fandom.com/Supreme_Intelligence_(Earth-616)",128
319,"Aragorn (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jan",1968,"No Dual Identity","https://marvel.fandom.com/Aragorn_(Earth-616)",128
320,"Betty Dean (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Deceased Characters",1,"Jan",1940,"No Dual Identity","https://marvel.fandom.com/Betty_Dean_(Earth-616)",127
321,"Karnilla (Earth-616)","marvel","Neutral Characters","Purple Eyes","Female Characters","","Living Characters",1,"Aug",1964,"Secret Identity","https://marvel.fandom.com/Karnilla_(Earth-616)",127
322,"Jacqueline Falsworth (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",1,"Jul",1976,"Public Identity","https://marvel.fandom.com/Jacqueline_Falsworth_(Earth-616)",127
323,"Caliban (Earth-616)","marvel","Good Characters","Black Eyes","Male Characters","","Deceased Characters",1,"Aug",1981,"Secret Identity","https://marvel.fandom.com/Caliban_(Earth-616)",127
324,"Isaac Christians (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Apr",1981,"Public Identity","https://marvel.fandom.com/Isaac_Christians_(Earth-616)",127
325,"Brock Rumlow (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Oct",1989,"Secret Identity","https://marvel.fandom.com/Brock_Rumlow_(Earth-616)",126
326,"Paul Norbert Ebersol (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Feb",1966,"Secret Identity","https://marvel.fandom.com/Paul_Norbert_Ebersol_(Earth-616)",125
327,"Annihilus (Earth-616)","marvel","Neutral Characters","Green Eyes","Male Characters","","Living Characters",1,"Nov",1968,"No Dual Identity","https://marvel.fandom.com/Annihilus_(Earth-616)",125
328,"Red Sonja (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Deceased Characters",1,"Feb",1973,"Public Identity","https://marvel.fandom.com/Red_Sonja_(Earth-616)",125
329,"Jonathan Hart (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Mar",1976,"Public Identity","https://marvel.fandom.com/Jonathan_Hart_(Earth-616)",125
330,"Bambina Arbogast (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",1,"Jan",1979,"No Dual Identity","https://marvel.fandom.com/Bambina_Arbogast_(Earth-616)",125
331,"Sooraya Qadir (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",1,"Dec",2002,"Secret Identity","https://marvel.fandom.com/Sooraya_Qadir_(Earth-616)",125
332,"Zeus Panhellenios (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",1,"Jun",1949,"No Dual Identity","https://marvel.fandom.com/Zeus_Panhellenios_(Earth-616)",124
333,"Randolph Robertson (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Dec",1968,"No Dual Identity","https://marvel.fandom.com/Randolph_Robertson_(Earth-616)",124
334,"Yao (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jun",1961,"Secret Identity","https://marvel.fandom.com/Yao_(Earth-616)",122
335,"Agatha Harkness (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Deceased Characters",1,"Jan",1970,"No Dual Identity","https://marvel.fandom.com/Agatha_Harkness_(Earth-616)",122
336,"Jack Tarr (Earth-616)","marvel","","Black Eyes","Male Characters","","Living Characters",1,"Apr",1974,"Secret Identity","https://marvel.fandom.com/Jack_Tarr_(Earth-616)",122
337,"Katherine Bishop (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",1,"Apr",2005,"Public Identity","https://marvel.fandom.com/Katherine_Bishop_(Earth-616)",122
338,"Jason Wyngarde (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Mar",1964,"Secret Identity","https://marvel.fandom.com/Jason_Wyngarde_(Earth-616)",121
339,"Walter Newell (Earth-616)","marvel","Good Characters","Hazel Eyes","Male Characters","","Living Characters",1,"Sep",1967,"Public Identity","https://marvel.fandom.com/Walter_Newell_(Earth-616)",121
340,"Joanna Cargill (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",1,"May",1986,"Secret Identity","https://marvel.fandom.com/Joanna_Cargill_(Earth-616)",121
341,"Parker Robbins (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jul",2002,"Secret Identity","https://marvel.fandom.com/Parker_Robbins_(Earth-616)",121
342,"Rocket Raccoon (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jun",1976,"No Dual Identity","https://marvel.fandom.com/Rocket_Raccoon_(Earth-616)",120
343,"Lyja (Earth-616)","marvel","Neutral Characters","Green Eyes","Female Characters","","Living Characters",1,"Apr",1984,"Secret Identity","https://marvel.fandom.com/Lyja_(Earth-616)",120
344,"Georges Batroc (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Mar",1966,"No Dual Identity","https://marvel.fandom.com/Georges_Batroc_(Earth-616)",119
345,"Wyatt Wingfoot (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"May",1966,"Public Identity","https://marvel.fandom.com/Wyatt_Wingfoot_(Earth-616)",119
346,"Henry Camp (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Nov",1974,"Public Identity","https://marvel.fandom.com/Henry_Camp_(Earth-616)",119
347,"Peter Quill (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Jan",1976,"Secret Identity","https://marvel.fandom.com/Peter_Quill_(Earth-616)",119
348,"Marrow (Sarah) (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","","Living Characters",1,"Sep",1994,"Secret Identity","https://marvel.fandom.com/Marrow_(Sarah)_(Earth-616)",119
349,"Vision (Jonas) (Earth-616)","marvel","Good Characters","Gold Eyes","Male Characters","","Deceased Characters",1,"Aug",2005,"Public Identity","https://marvel.fandom.com/Vision_(Jonas)_(Earth-616)",119
350,"William Kaplan (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","Homosexual Characters","Living Characters",1,"Apr",2005,"Secret Identity","https://marvel.fandom.com/William_Kaplan_(Earth-616)",119
351,"George Stacy (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Jan",1968,"Public Identity","https://marvel.fandom.com/George_Stacy_(Earth-616)",118
352,"Mari (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",1,"Jan",1979,"Public Identity","https://marvel.fandom.com/Mari_(Earth-616)",118
353,"Todd Arliss (Earth-616)","marvel","Bad Characters","Grey Eyes","Male Characters","","Living Characters",1,"Sep",1968,"Secret Identity","https://marvel.fandom.com/Todd_Arliss_(Earth-616)",116
354,"Hammerhead (Joseph) (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Oct",1972,"Secret Identity","https://marvel.fandom.com/Hammerhead_(Joseph)_(Earth-616)",116
355,"Heinrich Zemo (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Mar",1964,"Public Identity","https://marvel.fandom.com/Heinrich_Zemo_(Earth-616)",115
356,"Emil Blonsky (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Apr",1967,"Secret Identity","https://marvel.fandom.com/Emil_Blonsky_(Earth-616)",115
357,"Arcturus Rann (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jan",1979,"Public Identity","https://marvel.fandom.com/Arcturus_Rann_(Earth-616)",115
358,"James Woo (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Oct",1956,"Public Identity","https://marvel.fandom.com/James_Woo_(Earth-616)",114
359,"Frank Drake (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Apr",1972,"No Dual Identity","https://marvel.fandom.com/Frank_Drake_(Earth-616)",114
360,"Callisto (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","","Living Characters",1,"May",1983,"Secret Identity","https://marvel.fandom.com/Callisto_(Earth-616)",114
361,"Dorma (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","","Deceased Characters",1,"Oct",1939,"No Dual Identity","https://marvel.fandom.com/Dorma_(Earth-616)",113
362,"Lonnie Lincoln (Earth-616)","marvel","Bad Characters","Pink Eyes","Male Characters","","Living Characters",1,"Mar",1988,"Public Identity","https://marvel.fandom.com/Lonnie_Lincoln_(Earth-616)",113
363,"Doop (Earth-616)","marvel","Good Characters","Variable Eyes","Male Characters","Bisexual Characters","Living Characters",1,"Jul",2001,"No Dual Identity","https://marvel.fandom.com/Doop_(Earth-616)",113
364,"David Alleyne (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","Bisexual Characters","Living Characters",1,"Oct",2003,"Secret Identity","https://marvel.fandom.com/David_Alleyne_(Earth-616)",113
365,"Hepzibah (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",1,"Oct",1977,"Secret Identity","https://marvel.fandom.com/Hepzibah_(Earth-616)",112
366,"Charlie Cluster-7 (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",1,"Aug",2002,"Secret Identity","https://marvel.fandom.com/Charlie_Cluster-7_(Earth-616)",112
367,"Samuel Sawyer (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"May",1963,"Public Identity","https://marvel.fandom.com/Samuel_Sawyer_(Earth-616)",111
368,"Jacques Duquesne (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Aug",1965,"Known to Authorities Identity","https://marvel.fandom.com/Jacques_Duquesne_(Earth-616)",111
369,"Arcade (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Jan",1978,"Secret Identity","https://marvel.fandom.com/Arcade_(Earth-616)",111
370,"Mary Walker (Earth-616)","marvel","Bad Characters","Brown Eyes","Female Characters","","Living Characters",1,"May",1988,"Secret Identity","https://marvel.fandom.com/Mary_Walker_(Earth-616)",111
371,"Miguel Santos (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","Homosexual Characters","Living Characters",1,"Oct",1990,"Secret Identity","https://marvel.fandom.com/Miguel_Santos_(Earth-616)",111
372,"Christopher Summers (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Apr",1977,"Public Identity","https://marvel.fandom.com/Christopher_Summers_(Earth-616)",110
373,"Morris Bench (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jan",1981,"Public Identity","https://marvel.fandom.com/Morris_Bench_(Earth-616)",110
374,"David Cannon (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Dec",1963,"Public Identity","https://marvel.fandom.com/David_Cannon_(Earth-616)",109
375,"Prosh (Earth-616)","marvel","Good Characters","Variable Eyes","","","Living Characters",1,"Jan",1988,"Secret Identity","https://marvel.fandom.com/Prosh_(Earth-616)",109
376,"Roderick Kingsley (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Jun",1980,"Public Identity","https://marvel.fandom.com/Roderick_Kingsley_(Earth-616)",108
377,"Dominikos Petrakis (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Jan",1981,"Secret Identity","https://marvel.fandom.com/Dominikos_Petrakis_(Earth-616)",108
378,"St. John Allerdyce (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",1,"Jan",1981,"Secret Identity","https://marvel.fandom.com/St._John_Allerdyce_(Earth-616)",108
379,"Mary MacPherran (Earth-616)","marvel","Bad Characters","Blue Eyes","Female Characters","","Living Characters",1,"Jul",1984,"Secret Identity","https://marvel.fandom.com/Mary_MacPherran_(Earth-616)",108
380,"Rita Wayword (Earth-616)","marvel","Neutral Characters","White Eyes","Female Characters","","Living Characters",1,"Sep",1985,"Secret Identity","https://marvel.fandom.com/Rita_Wayword_(Earth-616)",108
381,"Angelo Espinosa (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Oct",1994,"Secret Identity","https://marvel.fandom.com/Angelo_Espinosa_(Earth-616)",108
382,"Layla Miller (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",1,"Sep",2005,"No Dual Identity","https://marvel.fandom.com/Layla_Miller_(Earth-616)",108
383,"Leland Owlsley (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Aug",1964,"Public Identity","https://marvel.fandom.com/Leland_Owlsley_(Earth-616)",107
